YEAR,QUARTER,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014,4,HARRIS PARK,BRONX        ,15.320,0,0,0,0,0,0,1,1
2014,4,GOODHUE,STATEN ISLAND,15.064,0,0,0,0,0,0,0,0
2014,4,MULLALY PARK,BRONX        ,15.049,0,0,2,0,0,0,0,2
2014,4,TREMONT PARK,BRONX        ,15.000,0,0,0,0,0,0,0,0
2014,4,CARL SCHURZ PARK,MANHATTAN    ,14.938,0,0,1,0,0,0,0,1
2014,4,GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,14.257,0,0,0,0,0,0,0,0
2014,4,VON BRIESEN PARK,STATEN ISLAND,13.938,0,0,0,0,0,0,0,0
2014,4,MOTOR PARKWAY,QUEENS       ,13.894,0,0,0,0,0,0,0,0
2014,4,UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,13.826,0,0,0,0,0,0,0,0
2014,4,BEACH 17 PLAYGROUND,QUEENS       ,13.750,0,0,0,0,0,0,0,0
2014,4,TUDOR PARK,QUEENS       ,13.543,0,0,0,0,0,0,0,0
2014,4,AQUEDUCT WALK,BRONX        ,13.533,0,0,1,0,0,0,0,1
2014,4,FATHER MACRIS PARK,STATEN ISLAND,13.469,0,0,0,0,0,0,0,0
2014,4,STARLIGHT PARK,BRONX        ,12.930,0,0,1,0,0,0,0,1
2014,4,JACKIE ROBINSON PARK MANHATTAN,MANHATTAN    ,12.772,0,0,1,0,0,1,0,2
2014,4,BROOKLYN MUSEUM,BROOKLYN     ,12.660,0,0,0,0,0,0,0,0
2014,4,BEACH CHANNEL PARK,QUEENS       ,12.624,0,0,0,0,0,0,0,0
2014,4,GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,12.247,0,0,0,0,0,0,0,0
2014,4,BOWNE PARK,QUEENS       ,11.788,0,0,0,0,0,0,0,0
2014,4,SETON PARK,BRONX        ,11.689,0,0,0,0,0,0,0,0
2014,4,RUFUS KING PARK,QUEENS       ,11.500,0,0,0,0,0,1,0,1
2014,4,FRANK GOLDEN PARK,QUEENS       ,11.422,0,0,0,0,0,0,0,0
2014,4,ST. JAMES PARK,BRONX        ,11.390,0,0,0,2,0,1,0,3
2014,4,RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.193,0,0,0,0,0,0,0,0
2014,4,BARRETTO POINT PARK,BRONX        ,11.161,0,0,0,0,0,0,0,0
2014,4,ST. ALBANS PARK,QUEENS       ,10.790,0,0,0,0,0,0,0,0
2014,4,GEMINI FIELDS,QUEENS       ,10.761,0,0,0,0,0,0,0,0
2014,4,GIVANS CREEK WOODS,BRONX        ,10.735,0,0,0,0,0,0,0,0
2014,4,BETSY HEAD PARK,BROOKLYN     ,10.555,0,0,0,0,0,0,0,0
2014,4,TOMPKINS SQUARE PARK,MANHATTAN    ,10.502,0,0,0,0,0,0,0,0
2014,4,CPL. THOMPSON PARK,STATEN ISLAND,10.500,0,0,0,0,0,0,0,0
2014,4,COMMODORE BARRY PARK,BROOKLYN     ,10.391,0,0,0,0,0,0,0,0
2014,4,CADMAN PLAZA PARK,BROOKLYN     ,10.384,0,0,0,0,0,0,0,0
2014,4,BROADWAY MALLS,MANHATTAN    ,10.242,0,0,0,0,0,0,0,0
2014,4,STEEPLECHASE PARK,BROOKLYN     ,10.010,0,0,0,0,0,0,0,0
2014,4,HUNTER'S POINT SOUTH PARK,QUEENS       ,10.000,0,0,0,0,0,0,0,0
2014,4,UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.934,0,0,0,0,0,0,0,0
2014,4,HYBRID OAK WOODS PARK,STATEN ISLAND,9.763,0,0,0,0,0,0,0,0
2014,4,WASHINGTON SQUARE PARK,MANHATTAN    ,9.749,0,0,0,0,0,0,0,0
2014,4,BRYANT PARK,MANHATTAN    ,9.603,0,0,0,0,0,7,0,7
2014,4,ROCKAWAY FREEWAY,QUEENS       ,9.404,0,0,0,0,0,0,0,0
2014,4,BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,9.395,0,0,0,0,0,0,0,0
2014,4,SUNSET COVE PARK,QUEENS       ,9.375,0,0,0,0,0,0,0,0
2014,4,ST. JOHN'S RECREATION CENTER,BROOKLYN     ,9.339,0,0,1,0,0,1,0,2
2014,4,LINDEN PARK,BROOKLYN     ,9.322,0,0,0,0,0,0,0,0
2014,4,HAFFEN PARK,BRONX        ,9.238,0,0,0,0,0,0,0,0
2014,4,ALLISON POND PARK,STATEN ISLAND,9.200,0,0,0,0,0,0,0,0
2014,4,GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,0,0,0,0,0,0,0,0
2014,4,TOTTENVILLE SHORE PARK,STATEN ISLAND,9.181,0,0,0,0,0,0,0,0
2014,4,CAPTAIN TILLY PARK,QUEENS       ,9.160,0,0,2,0,0,0,0,2
2014,4,HARVEY PARK,QUEENS       ,9.154,0,0,0,0,0,0,0,0
2014,4,MSGR. MCGOLRICK PARK,BROOKLYN     ,9.134,0,0,0,0,0,0,0,0
2014,4,BUSHWICK INLET PARK,BROOKLYN     ,9.010,0,0,0,0,0,0,0,0
2014,4,HENRY HUDSON PARK,BRONX        ,8.972,0,0,1,0,0,0,0,1
2014,4,FRANK PRINCIPE PARK,QUEENS       ,8.899,0,0,0,0,0,0,0,0
2014,4,CASTLE HILL PARK,BRONX        ,8.834,0,0,0,0,0,0,0,0
2014,4,ROCHDALE PARK,QUEENS       ,8.833,0,0,0,0,0,0,0,0
2014,4,ABE STARK SKATING RINK,BROOKLYN     ,8.807,0,0,0,0,0,0,0,0
2014,4,CITY HALL PARK,MANHATTAN    ,8.800,0,0,0,0,0,0,0,0
2014,4,EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,8.761,0,0,0,0,0,0,0,0
2014,4,CROTONA PARKWAY MALLS,BRONX        ,8.750,0,0,0,0,0,0,0,0
2014,4,CONEY ISLAND CREEK PARK,BROOKLYN     ,8.663,0,0,0,0,0,0,0,0
2014,4,MILL ROCK PARK,MANHATTAN    ,8.639,0,0,0,0,0,0,0,0
2014,4,EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,8.595,0,0,1,0,0,0,0,1
2014,4,JOHN J CARTY PARK,BROOKLYN     ,8.565,0,0,0,0,0,0,0,0
2014,4,COFFEY PARK,BROOKLYN     ,8.271,0,0,0,1,0,0,0,1
2014,4,BARRETT PARK,STATEN ISLAND,8.108,0,0,0,0,0,0,0,0
2014,4,RAINEY PARK QUEENS,QUEENS       ,8.090,0,0,0,0,0,0,0,0
2014,4,LAGUARDIA LANDING LIGHTS,QUEENS       ,8.030,0,0,0,0,0,0,0,0
2014,4,CITY ISLAND WETLANDS,BRONX        ,8.005,0,0,0,0,0,0,0,0
2014,4,SARA D. ROOSEVELT PARK,MANHATTAN    ,7.850,0,0,0,0,0,3,0,3
2014,4,EWEN PARK,BRONX        ,7.840,0,0,0,0,0,0,0,0
2014,4,HERBERT VON KING PARK,BROOKLYN     ,7.819,0,0,1,0,0,1,0,2
2014,4,MOUNT PROSPECT PARK,BROOKLYN     ,7.790,0,0,0,0,0,0,0,0
2014,4,RAINEY PARK BRONX,BRONX        ,7.738,0,0,0,0,0,0,0,0
2014,4,DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.683,0,0,0,0,0,0,0,0
2014,4,FLUSHING FIELDS,QUEENS       ,7.671,0,0,0,0,0,0,0,0
2014,4,PALMER INLET,BRONX        ,7.490,0,0,0,0,0,0,0,0
2014,4,MIDLAND FIELD,STATEN ISLAND,7.463,0,0,0,0,0,0,0,0
2014,4,SCHMUL PARK,STATEN ISLAND,7.395,0,0,0,0,0,0,0,0
2014,4,BRIDGE PARK BRONX,BRONX        ,7.156,0,0,0,0,0,0,0,0
2014,4,BEACH 30TH STREET PLAYGROUND,QUEENS       ,7.122,0,0,0,0,0,0,0,0
2014,4,BROWER PARK,BROOKLYN     ,7.047,0,0,0,0,0,0,0,0
2014,4,JOYCE KILMER PARK,BRONX        ,6.882,0,0,1,0,0,0,0,1
2014,4,MARIA HERNANDEZ PARK,BROOKLYN     ,6.873,0,0,0,2,0,1,0,3
2014,4,THE HIGH LINE,MANHATTAN    ,6.730,0,0,0,0,0,0,0,0
2014,4,FRIENDS FIELD,BROOKLYN     ,6.700,0,0,0,0,0,0,0,0
2014,4,LINDOWER PARK,BROOKLYN     ,6.700,0,0,0,0,0,0,0,0
2014,4,J. HOOD WRIGHT PARK,MANHATTAN    ,6.699,0,0,0,0,0,0,0,0
2014,4,WNYC TRANSMITTER PARK,BROOKLYN     ,6.611,0,0,0,0,0,0,0,0
2014,4,SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,6.600,0,0,0,0,0,0,0,0
2014,4,PARK AVENUE MALLS,MANHATTAN    ,6.593,0,0,0,0,0,0,0,0
2014,4,WESTWOOD PARK,STATEN ISLAND,6.563,0,0,0,0,0,0,0,0
2014,4,UNION SQUARE PARK,MANHATTAN    ,6.510,0,0,0,1,0,0,0,1
2014,4,CONCRETE PLANT PARK,BRONX        ,6.438,0,0,1,0,0,0,0,1
2014,4,COL. YOUNG PLAYGROUND,MANHATTAN    ,6.423,0,0,0,0,0,0,0,0
2014,4,BRADYS POND PARK,STATEN ISLAND,6.402,0,0,0,0,0,0,0,0
2014,4,COOPER PARK,BROOKLYN     ,6.401,0,0,0,0,0,1,0,1
2014,4,GRAVESEND PARK,BROOKLYN     ,6.379,0,0,0,0,0,0,0,0
2014,4,DR. CHARLES R. DREW PARK,QUEENS       ,6.336,0,0,0,0,0,0,0,0
2014,4,TRINITY PARK,BROOKLYN     ,6.300,0,0,0,0,0,0,0,0
2014,4,MADISON SQUARE PARK,MANHATTAN    ,6.234,0,0,0,0,0,0,0,0
2014,4,ELMHURST PARK,QUEENS       ,6.219,0,0,0,0,0,1,0,1
2014,4,FORT HAMILTON ATHLETIC FIELD,BROOKLYN     ,6.194,0,0,0,0,0,0,0,0
2014,4,AMBROSINI FIELD,BRONX        ,6.100,0,0,0,0,0,0,0,0
2014,4,CLEARVIEW PARK,QUEENS       ,6.050,0,0,0,0,0,0,0,0
2014,4,RALPH DEMARCO PARK,QUEENS       ,6.030,0,0,0,0,0,0,0,0
2014,4,WINGATE PARK,BROOKLYN     ,5.888,0,0,0,0,0,0,0,0
2014,4,UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,STATEN ISLAND,5.848,0,0,0,0,0,0,0,0
2014,4,DE WITT CLINTON PARK,MANHATTAN    ,5.829,0,0,0,0,0,0,0,0
2014,4,UNNAMED PARK ON BOUNDARY AVENUE,STATEN ISLAND,5.765,0,0,0,0,0,0,0,0
2014,4,VAN VOORHEES PARK,BROOKLYN     ,5.739,0,0,0,0,0,0,0,0
2014,4,HALLETS COVE PLAYGROUND,QUEENS       ,5.700,0,0,0,0,0,0,0,0
2014,4,MCKINLEY PARK,BROOKLYN     ,5.655,0,0,0,0,0,0,0,0
2014,4,SOUTHERN FIELDS,QUEENS       ,5.593,0,0,0,0,0,0,0,0
2014,4,DEVOE PARK,BRONX        ,5.440,0,0,0,0,0,0,0,0
2014,4,ST. MICHAEL'S PLAYGROUND,QUEENS       ,5.430,0,0,0,0,0,0,0,0
2014,4,KENNEDY PLAYGROUND,QUEENS       ,5.400,0,0,0,0,0,0,0,0
2014,4,MAFERA PARK,QUEENS       ,5.400,0,0,0,0,0,0,0,0
2014,4,SEAGIRT AVE WETLANDS,QUEENS       ,5.323,0,0,0,0,0,0,0,0
2014,4,JOHN PAUL JONES PARK,BROOKLYN     ,5.317,0,0,0,0,0,0,0,0
